Sn.no,Regulation,Particulars,Where we get Information in DRHP,Heading,Sub- Heading,What AI search for in DRHP,Remarks,Answer,Review Status,Exact Match Count
1,BSE Eligibility Criteria,Post Issue Paid up Capital - Not more than Rs. 25 crores,"Under the head ' Capital Structure' If there is a blob in capital structure, promt for manual check ",SECTION_IV INTRODUCTION,CAPITAL STRUCTURE,Whether the aggregate nominal value under paid up equity capital after the offer is not more than Rs. 25 crores.,,[API Error: all API keys exhausted],pending,0
2,BSE Eligibility Criteria,Networth - Atleast Rs. 1 crore for 2 preceding full financial years.,Under the head Summary of Offer Document or Summary of Draft Prospectus,SECTION_II Summary of Offer Document or Summary of Draft Prospectus,Summary of Financial Information or Summary of Restated Financial Information ,"(1) Compare the requirement of net-worth in the Summary of Financial information with the minimum eligibility criteria.

(2) Ignore Standalone figures if both Consolidated and Standalone financials provided.",This can Also be Cross Verified From the figures disclosed in the Chapter Other Regulatory and Statutory Disclosures - 'Criteria for eligibility on SME platform of BSE Limited'.,[API Error: all API keys exhausted],pending,0
3,BSE Eligibility Criteria,Net Tangible Asset - Rs 3 crores in last preceding (full) financial year.,Under the head Other Regulatory and Statutory Disclosures - 'Criteria for eligibility on SME platform of BSE Limited'.,SECTION_VIII - Other Regulatory and Statutiry Disclosures,Criteria eligibility on SME platform of BSE Limited,Whether the amount for Net Tangible Asset disclosed in last preceding full financial year is Rs. 3 crores or more ,This can Also be Cross Verified From the figures disclosed in the Chapter Other Regulatory and Statutory Disclosures - 'Criteria for eligibility on SME platform of BSE Limited'.,[API Error: all API keys exhausted],pending,0
4,BSE Eligibility Criteria,"Track Record -The track record of applicant company seeking listing should be atleast 3 years. Where the applicant company has taken over a proprietorship concern/ firm/ LLP, then the track record together with such proprietorship concern/ registered firm/ LLP should be atleast 3 years. registered partnership Provided, the applicant company seeking listing should have a track record of operations for atleast one full financial year and audited financial results for one full financial  year.Or Where the applicant company does not have a track record of 3 years, then the Project for which IPO is being proposed should be appraised and funded by NABARD, SIDBI, Banks (other than co-operative banks), Financial Institutions.Provided, the applicant company seeking listing should have a track record of operations for atleast one full financial year and audited financial results for one full financial year.",Cover page and Chapter - History and certain corporate matters ,Section VI - History and certain corporate matters,Brief history of our Company,"For 3 years track record:

Check on the cover page and Chapter - History and certain corporate matters for the date of incorporation of the company and whether the company has completed 3 years of existence as on the date of the draft offer document and in case of conversion of of LLP to company or conversion of partnership to company 
",This can Also be Cross Verified From the figures disclosed in the Chapter Other Regulatory and Statutory Disclosures - 'Criteria for eligibility on SME platform of BSE Limited' - Track Record.,[API Error: all API keys exhausted],pending,0
5,BSE Eligibility Criteria,"Earnings before Interest, Depreciation and tax -The company/ proprietorship concern/ registered firm/ LLP should have operating profit (earnings before interest, depreciation and tax) from operations for 2 out of 3 latest financial years preceding the application date.Provided the company should have operating profit (earnings before interest, depreciation and tax) from operations for one full financial year preceding the application date.For companies seeking listing where the project has been appraised and funded by NABARD, SIDBI, Banks (other than co-operative banks), Financial Institutions, it shall have positive operating profit (earnings before interest, depreciation and tax) from operations in one full preceding financial year.",Under the head Other Regulatory and Statutory Disclosures - 'Criteria for eligibility on SME platform of BSE Limited'.,SECTION_VIII - Other Regulatory and Statutory Disclosures,Criteria eligibility on SME platform of BSE Limited,"Whether the amount for Earnings before interest, Depreciation and tax disclosed in last preceding full financial year is Rs. 3 crores or more ",This can Also be Cross Verified From the figures disclosed in the Chapter Other Regulatory and Statutory Disclosures - 'Criteria for eligibility on SME platform of BSE Limited'.,[API Error: all API keys exhausted],pending,0
6,BSE Eligibility Criteria,Leverage Ratio - Leverage ratio of not more than 3:1. Relaxation may be granted to finance companies.,Under the head Other Regulatory and Statutory Disclosures - 'Criteria for eligibility on SME platform of BSE Limited'.,SECTION_VIII - Other Regulatory and Statutory Disclosures,Criteria eligibility on SME platform of BSE Limited,Whether the ratio for Leverage Ratio is not more than 3:1,,[API Error: all API keys exhausted],pending,0
7,BSE Eligibility Criteria,Disciplinary action -No regulatory action of suspension of trading against the promoter(s) or companies promoted by the promoters by any stock Exchange having nationwide trading terminals.The Promoter(s) or directors shall not be promoter(s) or directors (other than independent directors) of compulsory delisted companies by the Exchange and the applicability of consequences of compulsory delisting is attracted or companies that are suspended from trading on account of non-compliance.Director should not be disqualified/ debarred by any of the Regulatory Authority.,Under the head Other Regulatory and Statutory Disclosures - 'Criteria for eligibility on SME platform of BSE Limited'.,SECTION_VIII - Other Regulatory and Statutory Disclosures,Criteria eligibility on SME platform of BSE Limited,"There are no regulatory action of suspension of trading against the promoter(s) or companies promoted by the promoters by any stock Exchange having nationwide trading terminals. 

The Promoter(s) or directors shall not be promoter(s) or director(s) (other than independent directors) of compulsory delisted companies by the Exchange and the applicability of consequences of compulsory delisting is attracted or companies that are suspended from trading on account of non-compliance.

Director should not be disqualified/ debarred by any of the Regulatory Authority.",This data is available on the watchout investor/ Cibil site also the list of debarred entities are available on the SEBI /BSE/ NSE websites also,[API Error: all API keys exhausted],pending,0
8,228(a) of SEBI ICDR,"If the issuer, any of its promoters, promoter group or directors or selling shareholders are debarred from accessing the capital market by the Board.",Under the head Other Regulatory and Statutory Disclosures - 'Criteria for eligibility on SME platform of BSE Limited'.,SECTION_VIII  -Other Regulatory and Statutory Disclosures,Eligbility for the issue,"The issuer, any of its promoters, promoter group or directors or selling shareholders are debarred from accessing the capital market by the Board",This data is available on the watchout investor site/ CIBIL also the list of debarred entities are available on the SEBI /BSE/ NSE websites also ,[API Error: all API keys exhausted],pending,0
9,228(b) of SEBI ICDR,If any of the promoters or directors of the issuer is a promoter or director of any other    company which is debarred from accessing the capital market by the Board.,Under the head legal  and other information  -other regulatory and statutory disclosure.,SECTION_VIII  -Other Regulatory and Statutory Disclosures,Eligbility for the issue,The promoters or directors of the issuer not a promoter or director of any other company which is debarred from accessing the capital market by the Board,This data is available on the watchout investor site/ CIBIL also the list of debarred entities are available on the SEBI /BSE/ NSE websites also ,[API Error: all API keys exhausted],pending,0
10,228 (c) of SEBI ICDR,if the issuer or any of its promoters or directors is a  wilful defaulter or a fraudulent borrower.,Under the head legal  and other information  -other regulatory and statutory disclosure.,SECTION_VIII  -Other Regulatory and Statutory Disclosures,Eligbility for the issue,The issuer or any of its promoters or directors is a wilful defaulter or a fradulent borrower,This data is available on the watchout investor site/ CIBIL also the list of debarred entities are available on the SEBI /BSE/ NSE websites also ,[API Error: all API keys exhausted],pending,0
11,228(d) of SEBI ICDR,if any of its promoters or directors is a fugitive economic offender.,Under the head legal  and other information  -other regulatory and statutory disclosure.,SECTION_VIII  -Other Regulatory and Statutory Disclosures,Eligbility for the issue,Promoters or directors is not a fugitive economic offende.,This data is available on the watchout investor site/ CIBIL also the list of debarred entities are available on the SEBI /BSE/ NSE websites also ,[API Error: all API keys exhausted],pending,0
